Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path
,restaurant,309.0,3.9,46.7252947,24.6541754,King Abdulaziz Hospital,مستشفى الملك عبدالعزيز,POINT (46.7252947 24.6541754),حي الملز,Moonlight Family Restaurant south Indian,مستشفى الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة مستشفى الملك عبدالعزيز.
ساندوتش لي,restaurant,14.0,4.4,46.8288625,24.7889614,King Fahad Sport City,مدينة الملك فهد الرياضية,POINT (46.8288625 24.7889614),حي المعيزلة,Sandwich lee,مدينة الملك فهد الرياضية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة مدينة الملك فهد الرياضية.
,meal_takeaway,233.0,4.0,46.7720813,24.781851,Al Hamra,الحمراء,POINT (46.7720813 24.781851),حي الحمراء,Mendi Barrel,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
,store,317.0,4.0,46.6973149,24.7320395,King Salman Park,حديقة الملك سلمان,POINT (46.6973149 24.7320395),حي المرسلات,Green Box,حديقة الملك سلمان,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة حديقة الملك سلمان.
كبسة وزيادة,restaurant,727.0,3.8,46.7077918,24.8048769,SABIC,سابك,POINT (46.7077918 24.8048769),حي الفلاح,,سابك,اركب المترو من المحطة الحالية، وأخرج عند محطة سابك.
لقيمات هشة,restaurant,502.0,4.6,46.7910335,24.7742836,Al Khaleej,الخليج,POINT (46.7910335 24.7742836),حي اشبيلية,,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.
ايسكريم جنتو,restaurant,23.0,4.7,46.6120574,24.5862731,Western Station,الغربية,POINT (46.6120574 24.5862731),حي العريجاء الغربي,,,
,restaurant,36.0,4.1,46.6757619,24.7062547,Alinma Bank,مصرف الانماء,POINT (46.6757619 24.7062547),مدينة الملك عبدالله للطاقة,Nobu Riyadh Restaurant,,
بوفية مذاق الموائد,restaurant,13.0,4.2,46.6982584,24.6753122,Ministry of Interior,وزارة الداخلية,POINT (46.6982584 24.6753122),حي الوزارات,,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
,restaurant,166.0,4.1,46.7417285,24.5897995,Transportation Center,مركز النقل العام,POINT (46.7417285 24.5897995),حي المنصورة,Bangladesh Hotel,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
,restaurant,408.0,3.7,46.7752602,24.6846917,Al Rajhi Grand Mosque,جامع الراجحي,POINT (46.7752602 24.6846917),حي الربوة,canton,جامع الراجحي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة جامع الراجحي.
,restaurant,16.0,4.5,46.6529339,24.7223871,At Takhassussi,التخصصي,POINT (46.6529339 24.7223871),حي الرحمانية,CalculEat Riyadh,التخصصي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة التخصصي.
برايم كت,restaurant,2344.0,4.5,46.6835642,24.7043982,Alinma Bank,مصرف الانماء,POINT (46.6835642 24.7043982),مدينة الملك عبدالله للطاقة,PrimeCut,,
وينديز,restaurant,56.0,4.0,46.7961054,24.6868229,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.7961054 24.6868229),حي الروابي,Wendy's,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.
مطعم صحي اقل سعرات حراريه,restaurant,76.0,4.2,46.7423737,24.6030305,Transportation Center,مركز النقل العام,POINT (46.7423737 24.6030305),حي المنصورة,LOW CALORIE,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
,restaurant,42.0,4.1,46.6898463,24.6857543,King Fahd Library,مكتبة الملك فهد,POINT (46.6898463 24.6857543),حي العليا,Max Broasted,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.
هوم دوج,restaurant,5.0,4.0,46.6899489,24.6812416,Ministry of Interior,وزارة الداخلية,POINT (46.6899489 24.6812416),حي المؤتمرات,,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
,restaurant,3106.0,4.1,46.6712566,24.7181621,Al Wurud 2,الورود 2,POINT (46.6712566 24.7181621),حي الجزيرة,Marrakesh Castle Restaurant,الورود 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الورود 2.
ديرتي,restaurant,2.0,3.0,46.731313,24.6443836,As Salhiyah,الصالحية,POINT (46.731313 24.6443836),حي ثليم,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
فلافل صاج ابو عدنان حي العزيزيه شارع محمد رشيد رضا,restaurant,7.0,3.0,46.7540218,24.5812708,Al Aziziah,العزيزية,POINT (46.7540218 24.5812708),حي المصانع,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.
مطعم أطايب الحجاز,restaurant,58.0,4.2,46.6914603,24.6168406,Sultanah,سلطانه,POINT (46.6914603 24.6168406),حي الجرادية,,,
جوينت برجر,restaurant,647.0,4.2,46.7994391,24.7823473,Al Khaleej,الخليج,POINT (46.7994391 24.7823473),حي اليرموك,joint burger,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.
برجر كاسل,restaurant,1170.0,4.2,46.6345087,24.714561,King Salman Oasis,واحة الملك سلمان,POINT (46.6345087 24.714561),حي الرائد,,واحة الملك سلمان,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة واحة الملك سلمان.
مطعم خليل البخاري,restaurant,2.0,4.0,46.7441919,24.600918,Transportation Center,مركز النقل العام,POINT (46.7441919 24.600918),حي المنصورة,,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
بوفية امنه يحيى لتقديم الوجبات,restaurant,4.0,5.0,46.7519603,24.6042485,Transportation Center,مركز النقل العام,POINT (46.7519603 24.6042485),حي المنصورة,,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
بيتزا فرن ايار,restaurant,13.0,4.4,46.7598396,24.5897208,Al Aziziah,العزيزية,POINT (46.7598396 24.5897208),حي العزيزية,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.
,restaurant,1104.0,3.5,46.6442266,24.6004966,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.6442266 24.6004966),حي البديعة,KFC,,
,restaurant,5.0,3.8,46.7209676,24.6342439,Al Hilla,الحلة,POINT (46.7209676 24.6342439),حي العود,BYOTTY BROAST,,
مطعم بوادي حصة,restaurant,306.0,4.1,46.6559251,24.75528,Al Murooj,المروج,POINT (46.6559251 24.75528),حي النخيل,,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.
,restaurant,4.0,4.5,46.71085,24.6922212,Officers Club,نادي الضباط,POINT (46.71085 24.6922212),حي الملك عبدالعزيز,Lamasat Al-Fateera Pizza,نادي الضباط,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة نادي الضباط.
بوفية مسهي كوب للوجبات السريعة,restaurant,61.0,3.8,46.6676772,24.7801842,Ar Rabi,الربيع,POINT (46.6676772 24.7801842),حي النفل,,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.
الحمرا مول,restaurant,562.0,4.5,46.7764333,24.7743199,Al Hamra,الحمراء,POINT (46.7764333 24.7743199),حي الحمراء,,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
,restaurant,1.0,3.0,46.7270054,24.6328159,Al Margab,المرقب,POINT (46.7270054 24.6328159),حي العود,sakan,المرقب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة المرقب.
عالم القمم للدواجن الفرع الثاني,restaurant,4.0,5.0,46.7782757,24.5562493,Ad Dar Al Baida,الدار البيضاء,POINT (46.7782757 24.5562493),حي الدار البيضاء,,الدار البيضاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الدار البيضاء.
川中餐厅,restaurant,59.0,4.0,46.7610842,24.7895062,Al Yarmuk,اليرموك,POINT (46.7610842 24.7895062),حي الحمراء,Thousand flavors Chinese restaurant,اليرموك,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة اليرموك.
كارب لس,restaurant,5.0,1.2,46.758232,24.7877306,Al Yarmuk,اليرموك,POINT (46.758232 24.7877306),حي الحمراء,,اليرموك,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة اليرموك.
بوفيه,restaurant,3.0,2.7,46.6862847,24.6186015,Sultanah,سلطانه,POINT (46.6862847 24.6186015),حي الجرادية,,,
,restaurant,231.0,4.3,46.6747005,24.7150576,Al Urubah,العروبة,POINT (46.6747005 24.7150576),حي الجزيرة,Al feshawy,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.
مطعم شربتلي,restaurant,4.0,5.0,46.7083231,24.7549587,An Nuzhah,النزهة,POINT (46.7083231 24.7549587),حي النزهة,,النزهة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة النزهة.
,restaurant,224.0,2.8,46.6927944,24.6916741,King Fahd Library,مكتبة الملك فهد,POINT (46.6927944 24.6916741),حي العليا,The Red Pasta Cup,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.
,restaurant,4296.0,4.5,46.6196934,24.8085226,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6196934 24.8085226),حي الصحافة,WISTER,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.
ادورو لا باستا,restaurant,7.0,2.7,46.6987344,24.7972375,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.6987344 24.7972375),حي الفلاح,,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
فلافل الخيمة العربية,restaurant,47.0,4.1,46.7227194,24.6797043,Al Wizarat,الوزارات,POINT (46.7227194 24.6797043),حي الضباط,,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات
,restaurant,1.0,5.0,46.7030086,24.7108404,As Sulimaniyah,السليمانية,POINT (46.7030086 24.7108404),حي الملك عبدالعزيز,Yaser breakfast,السليمانية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة السليمانية.
,bakery,332.0,4.2,46.8355742,24.7011507,An Naseem,النسيم,POINT (46.8355742 24.7011507),حي السعادة,Tims Horton,النسيم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة النسيم.
ليالي توتي,restaurant,1.0,4.0,46.7211061,24.6038418,Manfouhah,منفوحة,POINT (46.7211061 24.6038418),حي اليمامة,,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.
مطعم طاجن فلفله,restaurant,146.0,4.1,46.7207964,24.6161772,Skirinah,سكيرينة,POINT (46.7207964 24.6161772),حي منفوحة الجديدة,,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.
,restaurant,23.0,4.8,46.658486,24.743137,King Fahd District,حي الملك فهد,POINT (46.658486 24.743137),حي النخيل,Burger King Galleria Mall,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.
كاريبو كوفي,cafe,100.0,3.9,46.729898,24.782841,Granadia,غرناطيّة,POINT (46.729898 24.782841),حي الشهداء,Caribou Coffee,,
,restaurant,220.0,4.1,46.8161204,24.7249633,As Salam,السلام,POINT (46.8161204 24.7249633),حي النسيم الغربي,Furn Aldayaa,السلام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة السلام.
مؤسسة المسك الأبيض,restaurant,5.0,4.6,46.7395406,24.6381616,As Salhiyah,الصالحية,POINT (46.7395406 24.6381616),حي الصناعية,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
,restaurant,69.0,3.7,46.687689,24.684061,King Fahd Library,مكتبة الملك فهد,POINT (46.687689 24.684061),حي العليا,Mozart Restaurant,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.
,restaurant,36.0,4.2,46.761529,24.7604776,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.761529 24.7604776),حي القدس,Sialkot Hotel,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.
,restaurant,193.0,4.5,46.703403,24.663962,Al Muorabba,المربع,POINT (46.703403 24.663962),حي النموذجية,Burger King Lulu Avenue Mall,المربع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المربع.
,restaurant,1.0,5.0,46.6834818,24.6946077,Bank Al Bilad,بنك البلاد,POINT (46.6834818 24.6946077),حي العليا,MALAZ FOOD RESTAUARANT,بنك البلاد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة بنك البلاد.
نكهة فلفلة,restaurant,2.0,5.0,46.7082797,24.6405475,Al Bat’ha,البطحاء,POINT (46.7082797 24.6405475),حي الفوطة,,البطحاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة البطحاء.
,meal_delivery,117.0,4.0,46.6752957,24.7135517,Al Urubah,العروبة,POINT (46.6752957 24.7135517),حي الجزيرة,Domino's Pizza,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.
,restaurant,2560.0,4.3,46.7231426,24.7467564,Riyadh Exhibition Center,مركز الرياض للمعارض,POINT (46.7231426 24.7467564),حي صلاح الدين,SPREAD,مركز الرياض للمعارض,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة مركز الرياض للمعارض.
,restaurant,40.0,3.8,46.7241126,24.654392,King Abdulaziz Hospital,مستشفى الملك عبدالعزيز,POINT (46.7241126 24.654392),حي الملز,MALABAR PARIS INDIAN RESTAURANT KERALA,مستشفى الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة مستشفى الملك عبدالعزيز.
ضباب الجنوب لتقديم الوجبات عريكة واكلات جنوبية,meal_takeaway,5.0,3.2,46.7991452,24.7609431,Al Andalus,الأندلس,POINT (46.7991452 24.7609431),حي النهضة,,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.
,restaurant,2875.0,4.5,46.6870006,24.7337823,King Abdulaziz Road,طريق الملك عبدالعزيز,POINT (46.6870006 24.7337823),حي الورود,Al Jalab Restaurant,طريق الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة طريق الملك عبدالعزيز.
,restaurant,1.0,5.0,46.8457948,24.718958,Hassan Bin Thabit street,شارع حسان بن ثابت,POINT (46.8457948 24.718958),حي النسيم الغربي,Pakistani Hotal,شارع حسان بن ثابت,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة شارع حسان بن ثابت.
,restaurant,782.0,3.3,46.6574032,24.6052501,Dhahrat Al Badiah,ظهره البديعة,POINT (46.6574032 24.6052501),حي البديعة,Falafel Dam,,
,restaurant,13.0,4.8,46.7177446,24.6450458,National Museum,المتحف الوطني,POINT (46.7177446 24.6450458),حي العمل,LaPaz Batchoy Elite Br,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.
,restaurant,142.0,3.4,46.6605162,24.7574322,Al Murooj,المروج,POINT (46.6605162 24.7574322),حي النخيل,Manto,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.
,restaurant,64.0,4.2,46.6476723,24.5957131,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.6476723 24.5957131),حي البديعة,Lorenzo Pizza,,
,restaurant,288.0,4.1,46.6589074,24.7251198,At Takhassussi,التخصصي,POINT (46.6589074 24.7251198),حي الملك فيصل,NAJM BALAH,التخصصي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة التخصصي.
بروستد المشير,restaurant,13.0,4.4,46.7745223,24.5637874,Ad Dar Al Baida,الدار البيضاء,POINT (46.7745223 24.5637874),حي الدار البيضاء,,الدار البيضاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الدار البيضاء.
دجاج وطني,restaurant,11.0,4.5,46.7634375,24.7748125,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7634375 24.7748125),حي الحمراء,,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.
,restaurant,143.0,3.9,46.6568324,24.7556749,Al Murooj,المروج,POINT (46.6568324 24.7556749),حي النخيل,Lorenzo Pizza,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.
مطعم اكليل,restaurant,5453.0,4.0,46.672106,24.7107258,Al Urubah,العروبة,POINT (46.672106 24.7107258),حي الجزيرة,,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.
مطعم الف سلامه,restaurant,4028.0,4.1,46.7180243,24.6299712,Qasr Al Hokm,قصر الحكم,POINT (46.7180243 24.6299712),حي القرى,,قصر الحكم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة قصر الحكم.
خلية نورة,restaurant,71.0,4.4,46.667779,24.7475469,King Fahd District,حي الملك فهد,POINT (46.667779 24.7475469),حي النخيل,,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.
شعبيات سمو سام,restaurant,12.0,4.5,46.7184793,24.6441196,National Museum,المتحف الوطني,POINT (46.7184793 24.6441196),حي العمل,,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.
&,restaurant,3.0,5.0,46.6724083,24.7101486,Al Urubah,العروبة,POINT (46.6724083 24.7101486),حي الجزيرة,regale Bistro Bar,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.
,restaurant,747.0,3.7,46.6344321,24.7145346,King Salman Oasis,واحة الملك سلمان,POINT (46.6344321 24.7145346),حي الرائد,Falafel Pie,واحة الملك سلمان,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة واحة الملك سلمان.
,restaurant,1482.0,4.2,46.6974501,24.6755035,Ministry of Interior,وزارة الداخلية,POINT (46.6974501 24.6755035),حي المؤتمرات,Biryani65 Pakistani Restaurant,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
,restaurant,8186.0,4.4,46.7060037,24.6505178,National Museum,المتحف الوطني,POINT (46.7060037 24.6505178),حي الوشام,Al-Afrah,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.
,restaurant,407.0,3.9,46.6977534,24.7991291,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.6977534 24.7991291),جامعة الامام محمد بن سعود الاسلامية,Forsan Kitchen,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
,cafe,619.0,4.2,46.6986828,24.6664489,Al Muorabba,المربع,POINT (46.6986828 24.6664489),حي النموذجية,Barn's,المربع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المربع.
,restaurant,6108.0,4.4,46.6917386,24.699014,Bank Al Bilad,بنك البلاد,POINT (46.6917386 24.699014),حي العليا,Outback Steakhouse,بنك البلاد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة بنك البلاد.
بوفية باكستاني,restaurant,40.0,4.0,46.8491346,24.7209862,Hassan Bin Thabit street,شارع حسان بن ثابت,POINT (46.8491346 24.7209862),حي النسيم الغربي,,شارع حسان بن ثابت,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة شارع حسان بن ثابت.
تسالي وجبات سويعه,restaurant,2.0,1.0,46.6115619,24.5869694,Western Station,الغربية,POINT (46.6115619 24.5869694),حي العريجاء الغربي,,,
,restaurant,191.0,4.0,46.7916337,24.7579258,Al Andalus,الأندلس,POINT (46.7916337 24.7579258),حي النهضة,Modhinah,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.
,restaurant,831.0,3.7,46.7035876,24.6637899,Al Muorabba,المربع,POINT (46.7035876 24.6637899),حي النموذجية,AlBaik Riyadh Avenue Mall,المربع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المربع.
مطعم فليورز باكستان,restaurant,66.0,4.3,46.6671584,24.7380607,King Fahd District 2,حي الملك فهد 2,POINT (46.6671584 24.7380607),حي الملك فيصل,Flavours Pakistan restaurant,حي الملك فهد 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد 2.
قناطر دمشق,restaurant,277.0,3.9,46.7569745,24.5942844,Al Aziziah,العزيزية,POINT (46.7569745 24.5942844),حي العزيزية,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.
,restaurant,1878.0,4.1,46.7242605,24.7466825,Riyadh Exhibition Center,مركز الرياض للمعارض,POINT (46.7242605 24.7466825),حي صلاح الدين,moon shell,مركز الرياض للمعارض,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة مركز الرياض للمعارض.
,meal_takeaway,769.0,4.0,46.7660583,24.7708907,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7660583 24.7708907),حي الحمراء,Domino's Pizza,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.
